coordenada_id,latitud,longitud
0,89.8,171.2
1,18.1,123.4
2,70.1,56.3
3,157.2,26.7
4,159.3,167.2
5,103.8,107.6
6,92.2,129.6
7,43.0,118.1
8,133.5,57.9
9,37.1,60.9
10,144.0,165.7
11,159.1,71.9
12,45.1,142.8
13,104.0,154.4
14,22.5,59.4
15,156.8,54.8
16,72.4,102.6
17,40.2,41.8
18,153.9,115.7
19,96.1,8.4
20,149.9,125.7
21,14.7,51.2
22,142.6,4.1
23,6.8,90.3
24,66.4,148.0
25,54.2,174.5
26,152.5,76.9
27,173.5,5.6
28,62.2,148.1
29,47.4,157.1
30,147.2,49.6
31,52.7,165.2
32,19.5,53.9
33,17.9,177.8
34,75.4,106.5
35,166.5,51.0
36,103.3,99.4
37,153.8,40.2
38,27.3,111.1
39,-38.915556,-72.252222
40,-27.675556,-108.439444
41,-32.9441666666667,-71.4702777777778
42,-23.143889,-68.805
43,-23.151944,-68.553056
44,-45.268611,-71.955
45,-45.913056,-71.7125
46,-34.584722,-70.622778
47,-43.280278,-72.974444
48,-42.591944,-73.228333
49,-44.098889,-72.380833
50,-52.0,-71.31
51,-37.353156,-72.419825
52,-31.416667,-90.0
53,-24.291667,-67.979167
54,-33.401844,-70.642517
55,-43.275278,-72.670556
56,-38.931111,-71.433611
57,-32.375,-70.225
58,-21.866667,-68.0625
